gameId,name,value
268,Main Story,42:30:0
268,Main + Sides,58:30:0
268,Completionist,71:30:0
268,All Styles,51:30:0
269,Main Story,37:30:0
269,Main + Sides,61:0:0
269,Completionist,84:0:0
269,All Styles,53:30:0
270,Main Story,15:0:0
270,Main + Sides,18:30:0
270,Completionist,32:0:0
270,All Styles,17:30:0
271,Main Story,9:30:0
271,Main + Sides,12:30:0
271,Completionist,27:30:0
271,All Styles,11:30:0
272,Main Story,8:0:0
272,Main + Sides,10:30:0
272,Completionist,27:30:0
272,All Styles,10:0:0
273,Main Story,20:0:0
273,Main + Sides,20:30:0
273,Completionist,20:30:0
273,All Styles,20:0:0
274,Main Story,15:30:0
274,Main + Sides,25:30:0
274,Completionist,40:0:0
274,All Styles,24:30:0
275,Main Story,22:0:0
275,Main + Sides,35:0:0
275,Completionist,36:0:0
275,All Styles,26:0:0
276,Main Story,12:0:0
276,Main + Sides,0:0:0
276,Completionist,15:0:0
276,All Styles,13:0:0
277,Main Story,16:0:0
277,Main + Sides,25:30:0
277,Completionist,26:0:0
277,All Styles,21:30:0
278,Main Story,9:30:0
278,Main + Sides,15:0:0
278,Completionist,18:30:0
278,All Styles,11:30:0
279,Main Story,0:0:0
279,Main + Sides,0:0:0
279,Completionist,0:0:0
279,All Styles,0:0:0
281,Main Story,24:0:0
281,Main + Sides,38:30:0
281,Completionist,60:30:0
281,All Styles,30:30:0
282,Main Story,52:0:0
282,Main + Sides,58:0:0
282,Completionist,102:0:0
282,All Styles,65:0:0
283,Main Story,32:30:0
283,Main + Sides,64:0:0
283,Completionist,85:30:0
283,All Styles,48:0:0
284,Main Story,2:0:0
284,Main + Sides,2:0:0
284,Completionist,3:30:0
284,All Styles,2:0:0
285,Main Story,5:0:0
285,Main + Sides,5:30:0
285,Completionist,30:0:0
285,All Styles,7:0:0
286,Main Story,0:0:0
286,Main + Sides,0:0:0
286,Completionist,0:0:0
286,All Styles,0:0:0
288,Main Story,23:30:0
288,Main + Sides,186:0:0
288,Completionist,0:0:0
288,All Styles,42:0:0
289,Main Story,0:0:0
289,Main + Sides,61:30:0
289,Completionist,0:0:0
289,All Styles,61:30:0
290,Single-Player,53:30:0
290,Co-Op,455:0:0
290,Vs.,986:0:0
291,Main Story,12:0:0
291,Main + Sides,0:0:0
291,Completionist,0:0:0
291,All Styles,12:0:0
292,Main Story,0:57:0
292,Main + Sides,0:0:0
292,Completionist,0:0:0
292,All Styles,0:57:0
293,Main Story,2:30:0
293,Main + Sides,3:30:0
293,Completionist,4:0:0
293,All Styles,3:0:0
295,Main Story,8:0:0
295,Main + Sides,8:30:0
295,Completionist,15:0:0
295,All Styles,9:0:0
296,Main Story,0:25:0
296,Main + Sides,1:30:0
296,Completionist,2:30:0
296,All Styles,0:34:0
297,Main Story,15:0:0
297,Main + Sides,16:30:0
297,Completionist,18:0:0
297,All Styles,16:30:0
299,Main Story,0:38:0
299,Main + Sides,0:0:0
299,Completionist,2:0:0
299,All Styles,0:54:0
298,Main Story,0:0:0
298,Main + Sides,0:0:0
298,Completionist,0:30:0
298,All Styles,0:30:0
301,Main Story,0:0:0
301,Main + Sides,0:0:0
301,Completionist,0:0:0
301,All Styles,0:0:0
300,Main Story,0:0:0
300,Main + Sides,0:0:0
300,Completionist,0:0:0
300,All Styles,0:0:0
302,Main Story,7:0:0
302,Main + Sides,12:0:0
302,Completionist,14:0:0
302,All Styles,10:30:0
303,Main Story,4:0:0
303,Main + Sides,6:0:0
303,Completionist,8:0:0
303,All Styles,6:0:0
304,Main Story,0:0:0
304,Main + Sides,25:0:0
304,Completionist,0:0:0
