gameId,name,value
132,Genre,Adventure
132,Developer,Infocom
132,Publisher,Infocom
133,Genre,Real-Time
133,Genre,Strategy
134,Platform,PC
134,Genre,Point-and-Click
134,Genre,Adventure
134,Developer,Daedalic Entertainment
134,Publisher,Daedalic
134,Publisher,Lace Mamba
134,Alias,A New Beginning - Final Cut
136,Platform,NES
136,Genre,Platform
136,Developer,Rare
136,Publisher,LJN
137,Platform,PlayStation Portable
137,Genre,Shoot em' up
137,Developer,Frima Studio Inc.
137,Publisher,Frima Studio Inc.
138,Platform,PC
138,Genre,Point-and-Click
138,Genre,Adventure
138,Developer,SPLine
138,Publisher,Akella
139,Platform,PC
139,Genre,Adventure
139,Developer,Crystal Shard
139,Publisher,Crystal Shard
140,Platform,PC
140,Genre,Strategy
140,Genre,Adventure
140,Genre,Role-Playing
140,Developer,Arcen Games
140,Publisher,Arcen Games
141,Platform,PC
141,Genre,Action
141,Genre,Adventure
141,Genre,Strategy
141,Developer,Arcen Games
141,Publisher,Arcen Games
142,Platform,PC
142,Genre,Adventure
142,Developer,Autumn Moon Entertainment
142,Publisher,Crimson Cow
142,Publisher,The Adventure Company
143,Platform,PC
143,Platform,PlayStation Vita
143,Genre,Action
143,Genre,Puzzle
143,Developer,Misfits Attic
143,Publisher,Misfits Attic
144,Platform,PC
144,Platform,Xbox One
144,Genre,Platform
144,Developer,Flying Turtle Software
145,Platform,Nintendo DS
145,Genre,Role-Playing
145,Developer,Hit Maker
145,Publisher,Nippon Ichi Software
145,Publisher,NIS America
146,Platform,PC
146,Platform,Wii U
146,Platform,Xbox 360
146,Platform,Xbox One
146,Genre,Simulation
146,Developer,NinjaBee
146,Publisher,Microsoft Studios
148,Platform,PlayStation
148,Genre,Simulation
148,Developer,Artdink
148,Publisher,Maxis
149,Platform,PC
149,Genre,Racing/Driving
149,Developer,SkyRiver Studios
149,Publisher,1C Company
150,Genre,Action
150,Genre,Shooter
150,Developer,Psyonix Studios
152,Platform,PC
152,Platform,Xbox 360
152,Genre,Action
152,Genre,Shooter
152,Developer,Extend Studio
152,Publisher,ORiGO GAMES
153,Platform,PC
153,Genre,First-Person
153,Genre,Simulation
153,Developer,Dejobaan Games
153,Alias,AaaaaAAaaaAAAaaAAAAaAAAAA!!! - A Reckless Disregard for Gravity
154,Platform,Mobile
154,Platform,PC
154,Genre,First-Person
154,Genre,Action
154,Developer,Dejobaan Games
154,Publisher,Dejobaan Games
156,Platform,NES
156,Genre,Shoot 'em up
156,Developer,Natsume
156,Publisher,Natsume
156,Publisher,Milton Bradley
157,Platform,PlayStation 2
157,Genre,Role-Playing
157,Publisher,Kadokawa Shoten
159,Platform,Browser
159,Platform,PC
159,Genre,Action
159,Genre,Adventure
159,Developer,I-Mockery
161,Platform,PC
161,Genre,Action
161,Genre,Shooter
161,Developer,Crack dot Com
161,Publisher,Electronic Arts
161,Publisher,Red Hat
161,Publisher,Bungie
162,Platform,PC
162,Genre,First-Person
162,Genre,Shooter
162,Developer,Cybermind
162,Developer,Impel Development Team
162,Publisher,Perfect Publishing
162,Alias,Abyss of Pandemonium - The Final Mission v2.0
163,Platform,PlayStation 2
163,Platform,PlayStation 3
163,Platform,Wii
163,Platform,Xbox 360
163,Developer,Harmonix Music Systems
163,Developer,Pi Studios
163,Publisher,MTV Games
163,Alias,AC/DC Live: Rock Band Track Pack
165,Platform,Mobile
165,Platform,Nintendo DS
165,Genre,Adventure
165,Developer,Capcom
165,Publisher,Capcom
166,Platform, PlayStation 2
166,Genre,Arcade
166,Genre,Flight Combat
166,Genre,Simulation
166,Developer,Project Aces
166,Publisher,Namco
166,Alias,Ace Combat 04: Distant Thunder
167,Platform, PlayStation
167,Genre,Arcade
167,Genre,Combat Flight Simulator
167,Developer,Namco
167,Publisher,Namco
168,Platform, PlayStation
168,Genre,Arcade
168,Genre,Combat Flight Simulator
168,Developer,Namco
168,Publisher,NA/JP: Namco
168,Publisher,EU: SCEE
169,Platform,PlayStation 2
169,Platform,PlayStation 4
169,Genre,Flight
169,Genre,Simulation
169,Genre,Vehicular Combat
169,Developer,Project Aces
169,Publisher,JP/NA: Namco
169,Publisher,EU: SCEE
169,Alias,Ace Combat 5: Squadron Leader
170,Platform,Xbox 360
170,Platform,Xbox One
170,Genre,Arcade
170,Genre,Combat Flight Simulator
170,Developer,Project Aces
170,Publisher,Namco Bandai Games
171,Platform, PlayStation Portable
171,Genre,Arcade
171,Genre,Combat Flight Simulator
171,Developer,Access Games
171,Publisher,Namco
171,Publisher,Sony Computer Entertainment Europe (Europe only)
172,Platform, PlayStation 2
172,Genre,Arcade
172,Developer,Project Aces
172,Publisher,Namco Bandai
172,Alias,Ace Combat: The Belkan War
173,Platform,PC
173,Platform,PlayStation 3
173,Platform,Xbox 360
173,Genre,Arcade
173,Developer,Project Aces
173,Publisher,Namco Bandai Games
173,Alias,Ace Combat: Assault Horizon - Enhanced Edition
