gameId,region,date
271,NA,2007-10-23
271,EU,2007-11-02
272,NA,2006-10-17
272,EU,2006-10-20
273,NA,2008-11-24
274,NA,2006-02-14
274,EU,2006-11-10
275,NA,1998-10-31
276,NA,2011-04-10
277,NA,2002-10-30
277,EU,2002-11-11
278,NA,2003-09-30
278,EU,2003-10-29
281,NA,1999-10-31
282,NA,2002-06-12
283,NA,2003-01-01
284,NA,2010-02-25
284,EU,2010-02-25
285,NA,2002-05-28
288,NA,2009-06-02
289,NA,2001-03-14
289,EU,2001-08-03
290,NA,2009-09-22
290,JP,2009-07-17
292,NA,1991-01-01
292,JP,1990-01-01
293,NA,1995-09-09
293,JP,1995-06-30
295,NA,2011-07-08
296,NA,2010-01-01
297,NA,1989-01-01
297,JP,1987-01-01
299,NA,2002-01-28
299,EU,2001-11-09
298,NA,1982-01-01
301,NA,2012-12-05
302,NA,1999-09-09
303,NA,2001-11-15
303,EU,2002-04-12
303,JP,2002-02-22
304,NA,2011-10-24
304,EU,2011-10-24
305,NA,2012-04-01
306,NA,1986-06-01
309,NA,1979-01-01
309,EU,2010-06-28
309,JP,2010-06-28
308,NA,2012-05-15
308,JP,2011-05-26
310,NA,2014-05-02
310,EU,2014-05-02
311,JP,1995-01-01
313,EU,2003-01-01
313,JP,2002-02-21
314,NA,1999-01-01
315,NA,2006-09-05
317,NA,1990-03-01
317,EU,1991-01-01
317,JP,1989-01-31
318,NA,1994-01-01
318,EU,1994-01-01
319,NA,2010-05-18
319,EU,2010-05-14
320,NA,2012-02-22
320,EU,2012-02-22
321,NA,2010-07-27
321,EU,2010-07-27
322,NA,2010-10-12
322,EU,2010-10-12
323,NA,1997-07-24
323,JP,1996-08-09
324,NA,1996-08-31
325,JP,1993-12-17
326,NA,2001-08-29
327,JP,1991-02-22
329,NA,1986-12-01
329,EU,1987-01-01
329,JP,1986-11-01
330,NA,1990-01-01
330,EU,1990-01-01
331,NA,1989-08-20
331,EU,1990-11-30
331,JP,1989-02-10
332,NA,1989-06-01
332,EU,1989-01-01
332,JP,1987-07-19
333,NA,1988-07-01
333,EU,1988-01-01
333,JP,1986-01-01
335,NA,2004-11-23
334,NA,2006-07-07
336,NA,1987-01-01
337,NA,1994-02-01
337,EU,1993-01-01
338,NA,2004-04-05
338,EU,2004-04-08
339,NA,2010-03-02
340,NA,2011-06-14
340,EU,2011-06-16
340,JP,2011-06-17
341,NA,2004-01-01
343,NA,1992-01-01
344,NA,1993-01-01
345,NA,1991-01-01
346,NA,2010-09-22
346,EU,2010-09-22
347,NA,2010-11-17
347,EU,2010-11-17
348,NA,2010-06-03
348,EU,2010-06-03
349,NA,1990-01-01
350,NA,1989-08-29
350,EU,2006-12-15
350,JP,1988-09-14
351,NA,2008-11-03
352,NA,2001-08-09
353,NA,2011-08-19
353,EU,2011-08-19
354,NA,2004-11-18
354,EU,2005-05-01
355,NA,2007-02-28
355,EU,2007-02-28
355,JP,2007-02-28
356,NA,1996-01-01
359,NA,2000-10-10
359,EU,2000-12-01
358,NA,1999-07-01
358,EU,1999-01-01
360,NA,2003-09-14
361,NA,2012-05-12
363,NA,2009-04-15
364,NA,2007-02-16
362,NA,2009-03-14
362,EU,2009-03-14
365,EU,1995-06-01
365,JP,1995-02-24
367,NA,1991-01-01
367,EU,1991-01-01
367,JP,1990-05-01
366,NA,2013-03-20
368,NA,2010-07-19
368,EU,2010-07-19
369,NA,1987-01-01
369,EU,1987-01-01
369,JP,1987-01-01
370,NA,2007-07-24
370,EU,2007-09-07
371,NA,1995-12-31
371,EU,1996-01-01
371,JP,1996-01-01
373,NA,1994-05-20
374,NA,1994-10-20
374,EU,1994-09-01
374,JP,1994-12-08
375,NA,1993-09-01
375,JP,1993-01-08
376,NA,2011-10-18
378,NA,2001-10-30
379,NA,2010-01-15
379,EU,2010-01-15
381,NA,2010-02-16
381,EU,2010-02-19
382,NA,2013-02-12
383,NA,2011-10-11
384,NA,1992-03-30
384,EU,1992-01-01
384,JP,1992-04-24
387,NA,2011-12-27
387,EU,2012-01-04
388,NA,2012-04-19
389,NA,2007-07-16
390,NA,2002-01-01
390,EU,2002-01-01
391,NA,1989-08-11
391,EU,1990-09-28
391,JP,1989-04-21
392,NA,1995-01-01
393,NA,1992-01-01
393,EU,1992-01-01
393,JP,1993-01-01
394,NA,2008-06-23
394,EU,2008-06-20
396,NA,1995-03-16
396,EU,1994-01-01
395,NA,1994-09-25
395,EU,1993-01-01
395,JP,1994-12-01
397,NA,2001-06-18
397,EU,2001-05-18
398,NA,1985-01-01
399,JP,1991-03-25
400,NA,2007-11-08
400,EU,2007-05-27
401,NA,2010-06-01
401,EU,2010-05-28
401,JP,2010-06-01
404,NA,2010-04-12
405,NA,2003-08-19
407,NA,1986-01-01
407,EU,1986-01-01
408,NA,2010-08-03
408,EU,2010-08-03
409,NA,1989-08-14
409,EU,1990-11-30
409,JP,1988-11-27
410,NA,2002-01-01
410,EU,2002-01-01
412,NA,2010-11-03
413,NA,2009-05-01
414,NA,1997-12-31
414,EU,1998-06-05
414,JP,1997-04-11
415,NA,2000-02-29
415,EU,2000-06-30
415,JP,1999-11-18
417,JP,2009-03-19
418,NA,1989-04-01
418,JP,1988-12-02
419,NA,2008-09-17
420,NA,2008-11-11
421,NA,2008-05-31
423,NA,1996-01-01
424,NA,2010-01-01
426,NA,2009-06-17
426,EU,2009-06-17
427,NA,2005-11-17
428,NA,2006-06-15
430,NA,2003-09-30
429,NA,2003-02-05
429,EU,2003-02-14
431,NA,1991-01-01
431,EU,1991-01-01
432,NA,2000-10-06
433,NA,2012-07-27
434,NA,1999-10-18
434,EU,1999-03-18
435,NA,1982-11-01
435,JP,1981-01-01
438,NA,2013-09-10
439,NA,2011-04-12
439,EU,2011-04-12
440,NA,2010-09-08
440,EU,2010-09-08
440,JP,2010-09-08
441,NA,2014-05-29
441,EU,2014-05-29
441,JP,2014-05-29
442,NA,2003-10-28
442,EU,2003-11-14
442,JP,2004-02-26
443,NA,2005-11-15
443,EU,2005-12-02
444,NA,2001-11-19
444,EU,2002-03-14
444,JP,2002-02-22
445,NA,2003-03-24
445,EU,2003-09-26
446,NA,2012-01-17
446,EU,2012-01-11
447,NA,1997-11-30
447,EU,1997-01-01
449,NA,2007-08-26
450,NA,2001-06-27
450,EU,2001-06-29
451,NA,2012-04-27
453,NA,2013-01-08
455,NA,2011-05-18
457,NA,2009-04-02
457,EU,2009-04-02
457,JP,2009-04-02
458,NA,1992-01-01
458,EU,1992-01-01
459,NA,1994-01-01
459,JP,1993-07-30
460,NA,1996-02-01
460,EU,1996-01-01
460,JP,1996-02-09
461,NA,2013-01-07
465,NA,2004-05-07
466,NA,2009-12-11
467,NA,2011-03-22
468,NA,2010-10-21
468,EU,2010-10-21
469,NA,2012-03-22
470,NA,2012-11-08
471,NA,2012-09-25
472,NA,2002-09-16
472,EU,2004-09-24
472,JP,2001-12-14
473,NA,2008-11-16
473,EU,2008-12-05
473,JP,2008-11-20
474,NA,2013-06-09
474,EU,2013-06-14
475,NA,2005-12-05
475,EU,2006-03-31
475,JP,2005-11-23
477,NA,2006-05-31
477,EU,2005-01-01
477,JP,2005-01-28
476,NA,2008-09-23
476,EU,2007-11-16
478,NA,1994-11-01
478,EU,1994-01-01
478,JP,1997-03-07
479,NA,2000-11-07
480,NA,2005-11-04
482,NA,2009-07-16
482,EU,2009-07-16
481,NA,2007-05-18
484,NA,2015-07-02
484,EU,2015-07-02
484,JP,2015-07-02
485,NA,2009-06-23
485,EU,2009-06-25
486,NA,2009-06-23
487,NA,2003-04-04
487,EU,2002-10-23
490,NA,2008-03-04
488,NA,2000-02-01
488,EU,1998-09-24
492,NA,2013-02-04
493,NA,2012-01-01
489,NA,2006-10-30
489,EU,2006-11-03
491,NA,2011-11-17
491,EU,2011-11-17
494,NA,2013-11-06
496,NA,2011-04-08
496,EU,2011-04-08
497,NA,2011-04-04
498,NA,2011-05-02
499,JP,2006-03-30
500,JP,2010-08-19
501,EU,2009-06-26
501,JP,2009-02-05
502,NA,2005-09-26
502,EU,2005-06-24
502,JP,2005-02-24
503,NA,1991-01-01
503,EU,1991-01-01
503,JP,1992-11-27
507,NA,2003-10-10
508,NA,1983-01-01
510,NA,2013-01-31
510,EU,2013-01-31
510,JP,2013-01-31
511,NA,1988-11-01
511,EU,1989-10-25
512,NA,1995-10-31
513,NA,2009-05-07
515,NA,2010-11-16
517,NA,2010-06-29
517,EU,2010-07-01
519,NA,2003-06-30
519,EU,2003-03-14
519,JP,2001-07-18
518,NA,1999-06-18
520,NA,2006-01-17
520,EU,2005-05-05
520,JP,2005-07-14
521,NA,2005-03-22
522,NA,2010-07-08
522,EU,2010-07-08
523,NA,1998-10-31
523,EU,1998-11-01
523,JP,1999-09-22
524,NA,2008-02-19
524,EU,2008-05-09
524,JP,2007-04-12
525,NA,2011-01-20
526,NA,2010-05-19
527,NA,2001-01-09
527,JP,2000-11-02
529,JP,2008-09-25
530,NA,2001-11-30
531,NA,2003-08-22
532,NA,2007-12-07
532,EU,2007-12-07
533,NA,2011-03-27
533,EU,2011-03-25
533,JP,2011-02-26
534,NA,2009-01-20
534,EU,2009-06-05
534,JP,2007-10-25
536,NA,2007-02-06
536,EU,2007-05-22
536,JP,2006-01-26
535,NA,2011-03-15
535,EU,2011-04-01
535,JP,2010-01-28
538,NA,1992-01-01
539,JP,1996-06-14
541,NA,2010-11-23
542,NA,2010-07-20
542,JP,2009-06-04
543,NA,2002-04-18
543,JP,1995-06-30
544,NA,2002-04-18
545,NA,2002-04-18
545,JP,1996-06-20
546,NA,2002-04-18
546,JP,1999-10-28
547,NA,2005-06-14
547,JP,2004-11-03
548,NA,2003-06-25
548,EU,2004-01-30
548,JP,2003-03-20
549,NA,1996-12-31
550,NA,1998-04-05
550,EU,1998-04-17
551,NA,1982-01-01
552,NA,1992-05-01
552,JP,1992-03-27
553,NA,2008-04-10
553,JP,2006-12-22
554,NA,2011-04-19
554,JP,2009-12-22
555,NA,2011-10-25
556,NA,2010-10-19
556,EU,2010-10-12
557,NA,2001-08-21
557,EU,2001-08-24
559,NA,1989-01-01
560,NA,1983-01-01
561,NA,1991-01-01
561,EU,1991-01-01
561,JP,1991-01-01
562,NA,2008-11-07
563,NA,2007-11-24
566,NA,1995-01-01
567,NA,2005-04-25
567,EU,2005-05-27
568,NA,2006-02-07
569,NA,1996-01-01
569,EU,1996-01-01
570,JP,1993-11-23
571,JP,1986-04-17
573,NA,1986-01-01
574,NA,2009-09-28
575,NA,1997-10-01
577,NA,2010-11-30
578,NA,2013-09-12
579,NA,2009-07-07
579,EU,2009-06-19
580,NA,2010-08-27
581,NA,2010-06-29
582,NA,2011-07-15
583,NA,2007-05-04
583,EU,2007-02-23
584,NA,2011-07-13
585,NA,2009-11-17
586,NA,2011-06-02
586,EU,2011-06-02
587,NA,2000-05-18
587,EU,2000-05-18
588,NA,1988-01-01
588,EU,1988-01-01
589,NA,2003-12-02
590,NA,2009-03-03
591,JP,1998-01-01
593,NA,2004-11-30
594,NA,1997-10-30
594,EU,1998-06-01
594,JP,1997-07-10
595,NA,2000-10-24
595,EU,2001-03-23
595,JP,2000-08-03
596,NA,2001-08-22
596,EU,2002-09-27
596,JP,2001-04-12
597,NA,2002-09-10
597,EU,2003-05-30
597,JP,2002-04-01
598,NA,2007-03-20
598,JP,2006-12-21
599,NA,2012-03-20
599,EU,2012-03-23
599,JP,2012-01-26
600,NA,2008-09-16
600,EU,2008-10-03
601,NA,2005-12-15
601,EU,2006-03-03
601,JP,2004-12-12
602,NA,2000-02-29
602,JP,1999-02-04
603,NA,1998-09-30
603,JP,1997-12-04
604,NA,2003-07-15
606,NA,1999-12-02
606,EU,2000-06-30
607,NA,2012-02-22
607,EU,2012-02-22
607,JP,2011-12-17
608,NA,1998-04-30
609,NA,1999-03-10
610,NA,1999-03-22
612,NA,1999-10-13
613,NA,2000-09-26
614,NA,2001-01-01
615,NA,1999-09-30
616,NA,2000-01-01
616,EU,2000-01-01
617,NA,1999-08-13
618,NA,2000-01-01
618,EU,2000-01-01
619,NA,2001-02-27
620,NA,2000-09-28
621,NA,2002-01-01
621,EU,2002-01-01
622,NA,2008-03-04
622,EU,2008-03-07
622,JP,2008-03-19
623,NA,2010-01-12
623,EU,2010-01-08
624,NA,2013-03-26
624,EU,2013-03-29
624,JP,2013-03-28
625,NA,2005-07-05
625,EU,2004-10-15
626,NA,2010-02-23
627,NA,2009-09-14
627,JP,2009-11-18
629,NA,1992-09-24
630,NA,1994-02-02
630,JP,1994-12-21
631,NA,1996-03-12
632,NA,2007-05-15
633,NA,2009-06-22
633,JP,2009-02-25
634,NA,2009-05-18
634,EU,2009-05-22
634,JP,2009-01-28
635,NA,2007-01-09
636,NA,1989-06-06
637,NA,2002-11-11
637,EU,2002-06-28
639,NA,1995-01-01
639,EU,1995-01-01
640,NA,2014-12-16
640,EU,2014-12-16
641,NA,2012-11-02
