gameId,gameName,playCount,backlogCount,replayCount,retiredPercentage,rating,completedCount
59776,ABYSS CRAWLER plus,0,0,0,100.0,0.0,0
59777,{JP}Gun Gun Pixies,0,0,0,100.0,0.0,0
59778,Kurohyou: Ryu ga Gotoku Shinshou,0,0,0,0.0,0.0,0
59775,Touhou 3,0,0,0,100.0,0.0,0
59780,Ochkarik,0,0,0,33.3,25.0,2
59781,Achievement Lurker: Respectable Accomplishment,1,3,0,5.6,20.0,14
59782,Achievement Lurker: We Give Up!,1,4,0,6.3,30.0,11
59783,An Oath to the Stars,0,9,0,9.1,0.0,1
59784,Die Biene Maja: Klatschmohnwiese in Gefahr,0,0,0,0.0,0.0,1
59785,Without Escape,1,69,2,5.6,42.0,48
59786,Dominus 2,0,0,0,100.0,0.0,0
59790,Kuutei Senki: Tasogare ni Shizumu Kusabi,0,1,0,0.0,0.0,0
59789,KidTripp,0,0,0,0.0,0.0,0
59792,Burak Bahar's Unseen Anchor,0,1,0,0.0,50.0,1
59794,Flipping Death,4,350,2,5.3,71.0,113
59793,Will To Live Online,6,141,2,18.8,53.0,10
59795,Paintball War,1,30,0,18.4,10.0,1
59796,Blali 2,0,0,0,0.0,40.0,2
59798,Lemonade Stand,0,2,0,16.7,45.0,3
59799,Darfur is dying,0,1,0,0.0,0.0,0
59800,Dawn of the Breakers,0,20,1,24.1,50.0,2
59801,Achievement Lurker: You are going to have to work for these nuts,0,0,0,0.0,50.0,1
59803,Knowledge Is Power (PSN PlayLink),0,0,0,0.0,0.0,0
59802,Pinball 2018,0,11,0,5.9,50.0,5
59805,Best of PlayStation Network Vol. 1,0,3,0,0.0,0.0,0
59806,Ne no Kami: The Two Princess Knights of Kyoto 2,0,0,0,0.0,70.0,1
59808,Alien 8,0,4,0,20.0,0.0,0
59807,Crawlers and Brawlers,0,4,0,20.0,0.0,0
59809,Cookie,0,4,0,16.7,0.0,1
59810,Pssst,0,2,0,25.0,0.0,1
59811,Underground Pool,0,0,0,50.0,0.0,1
59812,Sternenkind-Saga,0,1,0,0.0,0.0,0
59813,Cosmi-Cave 64,0,0,0,50.0,0.0,1
59814,ATOM RPG,12,577,2,6.7,64.0,103
59815,PUSS!,12,1500,6,3.5,66.0,48
59816,The Shape on the Ground,0,0,0,0.0,45.0,2
59817,Ninpu Sentai Hurricanger,0,5,0,0.0,0.0,2
59818,Mojo: Hanako,0,3,0,16.7,50.0,2
59821,"So, uh... a spaceship crashed in my yard.",0,0,0,0.0,54.0,8
59820,Rise of the Tomb Raider: 20 Year Celebration,14,1600,48,2.1,80.0,1800
59822,Non-Linear Text Quests,0,2,0,0.0,50.0,2
59823,CrazyCar,0,10,0,0.0,40.0,3
59824,Dungeon Girl,0,19,0,19.2,50.0,2
59826,Yeli Orog,0,1,0,16.7,45.0,4
59827,Heartbound,7,181,4,3.4,68.0,19
59828,YAPP: Yet Another Puzzle Platformer,0,7,0,11.1,0.0,1
59831,Galaga  Arrangement,0,1,0,0.0,0.0,0
59833,Princesss Maker 5,0,1,0,0.0,0.0,0
59832,F1 2018,53,2400,12,8.6,79.0,253
59834,A Nova California,0,0,0,100.0,0.0,0
59835,Muddledash,0,71,0,2.5,70.0,6
59836,Insurgency: Sandstorm,31,559,24,16.5,76.0,97
59837,Big Mac,0,0,0,0.0,0.0,1
59838,Antiyoy,0,1,0,33.3,0.0,3
59839,Jimmy and the Pulsating Mass,5,170,0,2.0,86.0,31
59840,M*A*S*H,0,6,0,22.2,60.0,1
59841,Lochjaw,0,1,0,66.7,10.0,0
59845,Deconstructor,0,4,0,0.0,40.0,6
59846,Circle Empires,4,159,3,6.3,69.0,49
59847,Lovecraft's Untold Stories,22,2200,8,2.3,59.0,32
